id,grid_solution,steps
lgp-test-5x6-16,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Bob"", ""german"", ""mystery"", ""grilled_cheese"", ""yellow"", ""dog""], [""2"", ""Eric"", ""norwegian"", ""fantasy"", ""stew"", ""blue"", ""fish""], [""3"", ""Peter"", ""dane"", ""science_fiction"", ""spaghetti"", ""green"", ""cat""], [""4"", ""Arnold"", ""swede"", ""biography"", ""stir_fry"", ""red"", ""bird""], [""5"", ""Alice"", ""brit"", ""romance"", ""pizza"", ""white"", ""horse""]]}",472
lgp-test-4x4-27,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Peter"", ""engineer"", ""romance"", ""google_pixel_6""], [""2"", ""Alice"", ""artist"", ""fantasy"", ""samsung_galaxy_s21""], [""3"", ""Eric"", ""teacher"", ""science_fiction"", ""iphone_13""], [""4"", ""Arnold"", ""doctor"", ""mystery"", ""oneplus_9""]]}",39
lgp-test-6x4-15,{},6
lgp-test-6x5-2,{},214
lgp-test-2x2-33,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""dog""], [""2"", ""Arnold"", ""cat""]]}",4
lgp-test-4x4-3,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Arnold"", ""Holly"", ""april"", ""ranch""], [""2"", ""Alice"", ""Kailyn"", ""jan"", ""craftsman""], [""3"", ""Eric"", ""Janelle"", ""sept"", ""victorian""], [""4"", ""Peter"", ""Aniya"", ""feb"", ""colonial""]]}",20
lgp-test-2x4-5,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Arnold"", ""daffodils"", ""red"", ""very_short""], [""2"", ""Eric"", ""carnations"", ""yellow"", ""short""]]}",11
lgp-test-5x5-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Arnold"", ""high_school"", ""green"", ""beach"", ""huawei_p50""], [""2"", ""Eric"", ""bachelor"", ""blue"", ""camping"", ""samsung_galaxy_s21""], [""3"", ""Peter"", ""associate"", ""white"", ""city"", ""iphone_13""], [""4"", ""Alice"", ""master"", ""red"", ""cruise"", ""google_pixel_6""], [""5"", ""Bob"", ""doctorate"", ""yellow"", ""mountain"", ""oneplus_9""]]}",65
lgp-test-3x5-34,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Peter"", ""red"", ""iphone_13"", ""pop"", ""bachelor""], [""2"", ""Eric"", ""white"", ""samsung_galaxy_s21"", ""rock"", ""associate""], [""3"", ""Arnold"", ""yellow"", ""google_pixel_6"", ""classical"", ""high_school""]]}",19
lgp-test-4x5-3,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Alice"", ""Holly"", ""science_fiction"", ""red"", ""beach""], [""2"", ""Peter"", ""Aniya"", ""romance"", ""yellow"", ""city""], [""3"", ""Arnold"", ""Janelle"", ""fantasy"", ""green"", ""cruise""], [""4"", ""Eric"", ""Kailyn"", ""mystery"", ""white"", ""mountain""]]}",32
lgp-test-2x6-24,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""cat"", ""brit"", ""engineer"", ""soccer"", ""pall_mall""], [""2"", ""Arnold"", ""dog"", ""dane"", ""doctor"", ""basketball"", ""prince""]]}",13
lgp-test-6x2-9,{},57
lgp-test-4x2-18,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""red""], [""2"", ""Eric"", ""white""], [""3"", ""Peter"", ""yellow""], [""4"", ""Arnold"", ""green""]]}",33
lgp-test-5x2-15,{},25
lgp-test-5x4-2,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""white"", ""google_pixel_6"", ""teacher""], [""2"", ""Bob"", ""blue"", ""samsung_galaxy_s21"", ""doctor""], [""3"", ""Peter"", ""red"", ""huawei_p50"", ""artist""], [""4"", ""Alice"", ""yellow"", ""oneplus_9"", ""lawyer""], [""5"", ""Arnold"", ""green"", ""iphone_13"", ""engineer""]]}",49
lgp-test-4x4-21,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""ford_f150"", ""sept"", ""photography""], [""2"", ""Peter"", ""toyota_camry"", ""jan"", ""gardening""], [""3"", ""Eric"", ""honda_civic"", ""feb"", ""cooking""], [""4"", ""Arnold"", ""tesla_model_3"", ""april"", ""painting""]]}",27
lgp-test-5x6-0,{},267
lgp-test-2x3-9,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""victorian"", ""samsung_galaxy_s21""], [""2"", ""Arnold"", ""colonial"", ""iphone_13""]]}",8
lgp-test-5x5-12,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""lime"", ""rock"", ""grilled_cheese"", ""coffee""], [""2"", ""Peter"", ""dragonfruit"", ""classical"", ""stew"", ""root_beer""], [""3"", ""Bob"", ""cherry"", ""hip_hop"", ""pizza"", ""water""], [""4"", ""Alice"", ""watermelon"", ""pop"", ""stir_fry"", ""tea""], [""5"", ""Arnold"", ""desert"", ""jazz"", ""spaghetti"", ""milk""]]}",151
lgp-test-3x5-16,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""water"", ""basketball"", ""horse"", ""science_fiction""], [""2"", ""Arnold"", ""tea"", ""tennis"", ""cat"", ""mystery""], [""3"", ""Peter"", ""milk"", ""soccer"", ""bird"", ""romance""]]}",15
